TitleName,PersonName,AverageRatings
"Galway Plays Mancini","Tony Klinger",250
"Get Your Man","Dorothy Arzner",132
"Ghost Fever","Lee Madden",303
"Giants and the Morning After","Alexander Rynéus",36
"Giants and the Morning After","Malla Grapengiesser",36
"Giants and the Morning After","Per Bifrost",36
"Gik chung yim lui","Yan Kit Cheung",5
"Give Me My Son","John W. Brunius",8
"Godspeed: The Story of Page Jones","Luann Barry",7
"Goodbye Again","Anatole Litvak",2136
"Grand Piano","Eugenio Mira",16111
GTO,"Masayuki Suzuki",904
Guerrilla,"Nasiruddin Yousuff",2290
"Gyangu tai G-men","Kinji Fukasaku",13
"Gyurkovics fiúk","Dezsõ Ákos Hamza",7
"Halalabad Blues","Helle Ryslinge",155
"Hall of Mirrors","Brad Osborne",45
"Happier Times, Grump","Tiina Lymi",336
"Hay muertos que no hacen ruido","Humberto Gómez Landero",25
"Head Space","Melech Erlbaum",22
"Help, I Shrunk My Teacher","Sven Unterwaldt Jr.",280
"High Lane","Abel Ferry",6796
"High Teen Boogie","Toshio Masuda",20
"Hillsong: Let Hope Rise","Michael John Warren",776
"Holiday in Sarajevo","Benjamin Filipovic",123
"Home on the Range","John Sanford",17447
"Home on the Range","Will Finn",17447
Honey,"Jerry Denby",6
"Hungarian Rhapsody","André Haguet",7
"Hungarian Rhapsody","Peter Berneis",7
"Hungry for Change","Carlo Ledesma",2952
"Hungry for Change","James Colquhoun",2952
"Hungry for Change","Laurentine Ten Bosch",2952
"I Am Miranda: Chains, Chainsaws and the Cricket","Candice Rollins",31
"I Bought a Vampire Motorcycle","Dirk Campbell",824
"I Killed Alhanash","Ahmed El-Sabawy",94
"I zoi enos anthropou","Spyros Ziangos",6
"Ibn Al Shaytan","Houssam El-Din Mustafa",5
"Il giocattolo","Giuliano Montaldo",207
"In the Name of Father and Son","Bozidar 'Bota' Nikolic",88
"In the Shadow of the Sandcastle","Philippe Blot",8
Insiders,"Simon Wyndham",23
"Instinto Devasso","Luiz Castellini",7
Intervista,"Federico Fellini",2087
"Invocation: Maya Deren","Jo Ann Kaplan",18
"Iranian Journey","Maysoon Pachachi",6
Isoken,"Jadesola Osiberu",55
"Jenseits von klein Wanzleben","Andreas Dresen",13
Jitters,"Baldvin Zophoníasson",1367
"Julien & Claire","Adam Neustadter",75
"Kadavul Irukaan Kumaru","M. Rajesh",208
Kaidan,"Hideo Nakata",946
"Kathai Thiraikathai Vasanam Iyakkam",Parthiban,549
"Khamosh Adalat Jaari Hai","Ritesh Menon",33
Kiccha,"P.A. Arun Prasad",90
"Kinky Business","Jonathan Ross",136
"Kirei? The Terror of Beauty","Katsuya Matsumura",119
"Kosciuszko pod Raclawicami","Joseph Lejtes",10
"Krallar krali hüdaverdi","Semih Evin",12
"La Banda dei Supereroi","Davide Limone",28
"La note bleue","Andrzej Zulawski",349
"La perla de Jorge","Pablo Fernández-Vilalta",13
"Le Crabe-Tambour","Pierre Schoendoerffer",511
"Le traqué","Borys Lewin",8
"Leo the Last","John Boorman",473
Les,"Roman Zhigalov",29
"Let Me Out","Luis F. Montalvo",36
"Let's All Sing Around","Ondrej Trojan",134
"Life After Death from Above 1979","Eva Michon",63
"Like Life","Jen-Ya Wu",22
"LOVE and FAITH","Benni Setiawan",21
"Love and Rage","Morten Giese",329
"Love at 16","Kostas Haralambous",196
"Lover Come Back","William A. Seiter",82
Lucija,"France Kosmac",19
"Lumière d'été","Jean Grémillon",447
"Lunar Eclipse","Quan'an Wang",56
Lymelife,"Derick Martini",13359
"Madam Satan","Cecil B. DeMille",706
Mama/M.A.M.A.,"Nonny de la Peña",17
Manón,"Román Chalbaud",19
"Maravilla, a Fighter Inside and Outside the Ring","Juan Pablo Cadaveira",189
"Marital Problems","Dia Taylor",9
"Marital Problems","Julian Barbor",9
"Mask de 41","Tenshi Matsumoto",7
"Mazinkaiser vs Great Darkness General","Masahiko Murata",108
Mechenye,"Vyacheslav Sorokin",10
Meedik,"Janno Jürgens",6
Mela,"Prakash Mehra",34
"Merchants of Venus","Len Richmond",75
"Meri Adaalat","Hamid Ali",7
"Minimalism: A Documentary About the Important Things","Matt D'Avella",8851
"Miss Brackets, the Baby-sitter, the Bastard Grandson Ans Emma Suarez","Sergio Candel",21
"Morte no Tejo","Luís Galvão Teles",5
"Muhtesem serseri","Aykut Düz",28
"Murder in the Senate","Juan José Jusid",114
"Murder Is My Business","Sam Newfield",35
"Música en la noche","Tito Davison",8
"My 11th Mother","Jin-seong Kim",178
"My Marilyn","Allan Holzman",7
"My Uncle the Alien","Henri Charr",184
"Naniwa onna","Kenji Mizoguchi",9
"Ne le criez pas sur les toits","Jacques Daniel-Norman",10
"Nel profondo paese straniero","Fabio Carpi",25
"Night of the Flowers","Gian Vittorio Baldi",12
"Nobody's Home","Ingrid Guardiola",6
"Nosht i den","Krassimir Kroumov",9
"Oh Lucy!","Atsuko Hirayanagi",2092
"Okeana Savilnotie","Laura Rozkalne",18
"Okeana Savilnotie","Sandijs Semjonovs",18
"On Her Own","Morgan Schmidt-Feng",7
"One Direction: All for One","Sonia Anderson",274
"Our Time","Peter Hyams",174
"Over Here","Jon Jost",21
"Ozhivudivasathe Kali","Sanal Kumar Sasidharan",310
"Pahlevan mofrad","Aman Manteghi",14
Pamahiin,"Rahyan Carlos",37
Panjaa,Vishnuvardhan,3315
"Para usted jefa","Guillermo Murray",10
"Paris Trout","Stephen Gyllenhaal",1357
"Patient 62","Bryce Schlamp",20
"Paulo Coelho - Mein Leben","Benedict Mirow",5
"Paulo Coelho - Mein Leben","Dorothee Binding",5
"Pennies from Heaven","Herbert Ross",4752
"Persona 3 the Movie: #3 Falling Down","Keitarô Motonaga",199
"Piazza Fontana: The Italian Conspiracy","Marco Tullio Giordana",1831
"Platinum Blonde","Frank Capra",2550
"Powrót wilczycy","Marek Piestrak",59
"Prin to telos tou kosmou","Panagiotis Maroulis",9
"Quiero tener una ferretería en Andalucía","Carles Prats",31
"Raju Maharaju","Shankaranath Durga",504
Ranam,Rajsekhar,145
"Red Haired Revolver","Denise Geilfus",7
"Red Haired Revolver","Frédéric Geilfus",7
"Reina y Rey","Julio García Espinosa",23
"Rock yo shizukani nagareyo","Shunichi Nagasaki",8
Roj,"Miodrag Popovic",66
Romeos,"Sabine Bernardi",2998
"Round Trip","Aleksandar Petkovic",23
"Run and Kill","Hin Sing 'Billy' Tang",467
"Sable Fable","Stephen Lloyd Jackson",7
Sanctimony,"Uwe Boll",1450
"Sangre derramada","Rafael Portillo",6
"Sanshiro Sugata","Seiichirô Uchikawa",315
"Sarong Girl","Arthur Dreifuss",46
Sathya,"Pradeep Krishnamoorthy",263
Sauve-moi,"Christian Vincent",61
"Say Yes","Larry Yust",103
"Say Yes","Peter Ferrara",103
Scar,"Rahil Bhorania",298
"Scott & Crowley: A Comic Book Adventure","Dan E. Tibbs",8
"Senior Cut Day: The Movie","Alvin Gray",11
"Sergeant Frog Movie 2","Susumu Yamaguchi",34
"Shinobi: Runaway","Kenji Tanigaki",22
"Siyavosh at Persepolis","Fereydoun Rahnema",34
"Smash Cut","Lee Demarbre",1206
"Something New","Sanaa Hamri",11950
"Soul of the Forest","Tamal Dasgupta",6
"Soul of the Sword","Shan Hua",202
"South Sea Woman","Arthur Lubin",592
"South Seas Adventure","Basil Wrangell",85
"South Seas Adventure","Carl Dudley",85
"South Seas Adventure","Francis D. Lyon",85
"South Seas Adventure","Richard Goldstone",85
"South Seas Adventure","Walter Thompson",85
"Stagecoach Kid","Lew Landers",134
Stickfighter,"BJ Davis",48
"Stories We Tell","Sarah Polley",11115
"Strange and Rich","Arvi Liimatainen",14
Stri,"K. Madhavan",19
Stri,"K.S. Sethumadhavan",19
"Subedar Joginder Singh","Simerjit Singh",283
Sustained,"Amber Rose Jones",20
Sustained,"Jamall Rashaud McMillan",20
Sustained,"Tiffany Cosey",20
"Sword in the Moon","Ui-Seok Kim",1321
Taxi,"Gregory Ratoff",17
"Ten-Buck Baton","Mike Brochu",14
"Ten-Buck Baton","Neem Basha",14
"That's No Way to Land a Man","Hans Deppe",14
"The 'Burbs","Joe Dante",61092
"The Accountant","Andrew White",53
"The Art of Vision","Stan Brakhage",45
"The Art of Worldly Wisdom","R. Bruce Elder",10
"The Bank","Robert Connolly",2704
"The California Connection","Frank Q. Dobbs",13
"The Calling","Rich Varville",5
"The Castle","Anker Sørensen",51
"The Dark Dealer","Tom Alexander",65
"The Dark Dealer","Wynn Winberg",65
"The Desert Song","Paul Martin",27
"The First Season","Rudd Simmons",11
"The Forgotten Hill","Abderrahmane Bouguermouh",12
"The Gangster","Gordon Wiles",649
"The Garden Grounds","Julian Sol Jordan",7
"The Gazelle","Mojtaba Raie",7
"The Gene Generation","Pearry Reginald Teo",2485
"The Glamour & the Squalor","Marq Evans",135
"The Heat of the Moment","Jim Travis",12
"The Hidden","Antonio Hernández",402
"The Icarus Line Must Die","Michael Grodner",15
"The Inner Circle","Camille Poisson",39
"The Last Black Sea Pirates","Svetoslav Stoyanov",160
"The Legend of Zu","Ling Feng Zhu",57
"The Lighthorsemen","Simon Wincer",1429
"The Lighthouse of the Whales","Gerardo Olivares",2236
"The Lone Gun","Ray Nazarro",281
"The Lone Wolf and His Lady","John Hoffman",149
"The Man in the Mirror","Maurice Elvey",96
"The Million Dollar Piano","Chris Gero",19
"The Musketeers","Annelise Hovmand",99
"The Naked Eye","James Dean Schulte",16
"The Nut","Theodore Reed",188
"The Other Man","Jag Mundhra",263
"The Overlookers","Christopher Warre Smets",31
"The Passage of Time","David Albert Habif",17
"The Purple Rose of Cairo","Woody Allen",42702
"The Racketeer","Howard Higgin",323
"The Rain Falls on Our Souls","Vlado Balco",31
"The Sailor Who Fell from Grace with the Sea","Lewis John Carlino",1020
"The Source of Snakes","Nikolay Lebedev",202
"The Swan and the Wanderer","Timo Koivusalo",569
"The Tales of a Thousand and One Nights","Viktor Tourjansky",7
"The Whirlpool","Alvin Case",21
"Thermae Romae II","Hideki Takeuchi",501
"This Beautiful Fantastic","Simon Aboud",5978
"This Town","Nick Marnos",32
"This Woman Is Dangerous","Felix E. Feist",586
Tides,"Diego Martínez Vignatti",71
"Tiempos Felices","Luis Javier Henaine",388
"To See If I'm Smiling","Tamar Yarom",127
"Trifling with Fate","Michael Bergmann",26
"Tsyganskoe schaste","Sergey Nikonenko",8
Tudjman,"Jakov Sedlar",37
Tudjman,"Joe Tripician",37
Tueurs,"François Troukens",624
Tueurs,"Jean-François Hensgens",624
"Tunnel Rendez-vous","Chihiro Ikeda",103
"U Pana Boga za miedza","Jacek Bromski",286
"Un modelo de París","Luis Bayón Herrera",6
"Una ballata bianca","Stefano Odoardi",17
"United States of Afghanistan","Pål Hollender",31
Unveiled,"Angelina Maccarone",979
"Utopia in Four Movements","David Cerf",39
Vanarasena,"Jayan Varkala",5
"Vilayattu Pillai","A.P. Nagarajan",6
"Violeta Went to Heaven","Andrés Wood",1855
Walk,"Scott Herriott",5
"Warriors of the Apocalypse","Bobby A. Suarez",141
"We Are No Angels","Gianfranco Parolini",44
"We're No Angels","Neil Jordan",19775
"Whipping Boy","Di Drew",46
"White Man's Burden","Desmond Nakano",4402
Wildwitch,"Kaspar Munk",125
Xanadu,"Dominic Reynolds",10
Yankesici,"Naki Yurter",11
Yasmin,"Kenneth Glenaan",722
"Ying zhao nu lang 1988","David Lam",57
"Yuan yang jian xia","Teng Hung Hsu",74
Yudh,"Rajiv Rai",142
"Zanzibar Musical Club","Patrice Nezan",10
"Zanzibar Musical Club","Philippe Gasnier",10
"(Uno de los) primos","Daniel Sánchez Arévalo",67
"1,048","Juho Fossi",8
"32/76: An W+B","Kurt Kren",39
"6:18 PM","Seth Wessel-Estes",13
"A Chamada","Vasco Rosa",26
"A Ghastly Tale","Paul Awad",6
"A Sportive Puppet","Émile Cohl",39
"A Sportive Puppet","Émile Cohl",39
"A Sportive Puppet","Étienne Arnaud",39
"A Story of Water","François Truffaut",1162
"A Tangled Tale","Corrie Francis Parks",11
"Adiós, para siempre","David Barba",7
"Air Balloon Circus","Jim Goodall",13
"Atenea y Afrodita","Harold López Garroz",14
Avo,"Golnaz Jamsheed",7
"Babyroussa the Babiroussa","Vincent Patar",50
Betsy,"Greg Swartz",12
"Big Demon Promise","Taylor Morano",9
"Big Slick","Nick Ligonis",7
Blikkfang,"Christine Stronegger",15
Blikkfang,"Emilie K. Beck",15
Bongo,"Jack Kinney",407
"Boy meets girlS","Wolfgang Eissler",9
Brotherly,"J.C. Oliva",436
"Buddy's Bearcats","Jack King",52
"Calla para siempre","Jorge Dantart",8
"Campanas de sangre","Iñaki Ochoa",6
"Campanas de sangre","Néstor Ruiz Medina",6
"Carnet de identidad","Llorenç Soler",6
Caroline,"Alexis Aryeh",34
Cekaonica,"Zoran Krusvar",11
"Charity Ball","William Heise",112
Cherokee,"Jem Rankin",18
Chiruri,Kawasaki,26
"Closing Time","Brion Rockwell",17
"Colectia de arome","Igor Cobileanski",24
Comeliness,"Freddie Favar",6
Conclusion,"Micah Mahaffey",21
"Control Your Emotions","Ted Peshak",16
Conversations,"Eleva Singleton",6
"Cost of Living","BenDavid Grabinski",219
"Courtship of Miles Sandwich","Charley Chase",29
"Crossed Wires","Frederick Sullivan",26
"Csöpp szivem","Gergely Fogarasi",8
"Cutting Moments","Douglas Buck",1384
"De noche y de pronto","Arantxa Echevarría",20
"Dead Bones","Olivier Beguin",62
"Death of a Wizard","Edward Varnie",17
"Demon Beside Me","Michael Cuenca",6
"Depth of Phil","Jack Daniel Stanley",9
"Descent Into Hell","Sergi Arnau",119
"Dirty Magazines","Jay J. Levy",66
Displacement,"Connor Rentz",9
"Dog Days","Robert F. McGowan",31
"Dopskoni: Serieavslutning","Iver Neset",5
"Down on the Levee","Frank Moser",6
"Droopy Leprechaun","Michael Lah",194
Eddie,"Quentin Kruger",7
Elöbb-utóbb,"Isti Madarász",108
"Escape Captivity: The Movie","Daisuke Gotô",66
"Exit Interview","Nathan Bezner",6
"Forte tête","Olivier Megaton",6
"Fuk It","Dennis Overeem",8
"Get the Hell Out of Heaven","Robert Smithline",7
"Getting There","Brendan Prost",7
Gossip,"Avi Youabian",15
Green,"Kelly Harms",14
"Hand Soap","Kei Oyama",24
"High Maintenance","Phillip Van",345
High/Low,"Fabien Dubois",16
Holden,"Juan Arcones",60
Holden,"Roque Madrid",60
Home,"Kast Hasa",14
"How Does It Feel","Ross Howieson",18
Identity,"Chasson Gracie",12
Identity,"Willyum Beck",12
"Il court, il court, le monde","Jean-Pierre Dardenne",47
"Il court, il court, le monde","Luc Dardenne",47
Impuissant,"Karine Lima",5
Judaspengar,"Victor Sjöström",12
"Just Do It","Nils Gaup",22
"Keep Your Enemies Closer","Federico Castelluccio",6
Kertenkele,"Özgür E. Arik",21
Kontraste,"Sieglinde Hamacher",5
"La depanneuse","Dominique Aru",9
Lasso,"Salla Tykkä",23
"Last Days","Kathryn Bigelow",134
"Le frotteur","Alice Guy",95
"Life is Strange","Alexandre Papeians",6
"Live with It","Jaime Gomez",29
"Loop De Li","Aoife McArdle",14
"Love & Engineering","Thijs Meuwese",9
Loverman,"Sacha Bryning",8
M-Theory,"T.L. Westgate",5
"Magic Bullet","Amanda Lovejoy Street",9
"Maître Galip","Maurice Pialat",77
"Man's Greatest Friend","Joseph M. Newman",9
Mascarpone,"Jonas Riemer",22
"Mattina Presto Luce","Lee Stokes",8
Mirinda,"Marco Romano",8
"Mirror #1","Matthew Benjamin Jones",7
Missing,"Charles Bail",10
Missing,"Terrence Atkins",10
"Monsieur l'assassin X","Antonio Veiras",13
"Monsieur l'assassin X","Lynn Devillaz",13
MWM,"Greg Luna",9
"My Face: The Liam Penny Story","Alan Silverman",5
"Northern Lights","Keren Ben Rafael",12
"Nothing to Something","Michael Artiles",108
Obsession,"Fivos Imellos",23
"Odd Job Man","Marianne Blicher",22
Office,"Matilda Aslizadeh",164
"Olympic Events","Ray McCarey",31
"On vous parle du Brésil: Carlos Marighela","Chris Marker",13
"Op het Randje","Ruben Wijnheijmer",8
"Oscar, champion de tennis","Jack Forrester",9
"Out for Vengeance","Andrew Catania",6
Pantomima,"Hector Suñol",9
"Picture in the House","Sean Quillen",5
"Pizza Bagel","Joe Mari",9
Podarok,"Mikhail Dvoryankin",5
"Prayer Time","Mostafa El-Nagaar",24
Project,"Abdulmohsen Al-Mutairi",6
"Reizigers in de nacht","Ena Sendijarevic",25
"Rituel pour un autre","Mathilde Ferrer",6
"Seven Green Bottles","Eric Marquis",42
Shopping,"Dimitar Kotzev",10
"Shut Up! I Said Shut Up!","Ben Rock",12
Singularity,"Geoff Ross",15
Singularity,"Roland Emmerich",15
Skyscraper,"D.A. Pennebaker",61
Skyscraper,"Irving Jacoby",61
Skyscraper,"Shirley Clarke",61
Skyscraper,"Wheaton Galentine",61
Skyscraper,"Willard Van Dyke",61
Solace,"Tchaiko Omawale",5
"Somlói galuska","Zsolt Meskó",17
"Spare Parts","Marwan Morowa",9
"Spare Parts","Wilson Verstreken",9
"Star Trak","Roy T. Wood",27
"Star Wars: The Force and the Fury","Jason Satterlund",131
"Stevie Wonder Feat Ariana Grande: Faith","Alan Bibby",31
SuperFLY,"Mark J. Howell",5
"Sweet Nothing","Blake Hamilton",7
"Teruel ha caído","Miguel Mutiñó",5
"That Unusual Brick","Jesse Burks",7
"The Bengal Partition Film","Hiralal Sen",10
"The Black Cat","Noburô Ôfuji",61
"The Bridge","Richard Raymond",70
"The Caretaker's Daughter","Leo McCarey",64
"The Cowboy Sheik","J.A. Howe",9
"The Deal","Hunter Johnson",8
"The Ghost Fisher","Jace Daniel",12
"The Golden Beetle","Segundo de Chomón",695
"The Judge","Niko Red Star",7
"The Optimist","John Mervin",21
"The Pre Nup","Martin Jay Weiss",17
"The Sin Bleeder","Ivan Zelic",7
"The Swimmer","Giovanni Basso",35
"The Tender Tale of Cinderella Penguin","Janet Perlman",107
"The Unvarnished Boy","Matt McInnis",9
"Throwing a Party","Ray Enright",6
"To Cut a Long Story Short","Marco Espirito Santo",8
"Twinkletoes in Hat Stuff","Dave Fleischer",13
Unborn,"Justin Trefgarne",34
Unfiltered,"Jeff Fong",8
"Vae soli (woe to the one who is alone)","Filip Rozic",19
"Vae soli (woe to the one who is alone)","Neva Ivanec",19
"Vode srednje Bosne","Nisvet Hrustic",7
"Waiting for the Time","Burak Aras",7
Watcher,"K. Sam Addison",7
"Wicked Desire","Angela Cheng",17
"Working with Damian","Tim Earnheart",9
#LizaToo,"Steven K. Tsuchida",117
"...und raus bist du!","Christian von Castelberg",60
"99 Problems But a Mom Ain't One","Guido Verweyen",16
"A "Little" Avant Garde","Rich Kim",16
"A Call to Arms","Ken Topolsky",94
"A Dark and Stormy Night","Allan King",30
"A Horse Divided","Stefan Scaini",44
"A House Divided","Keith Truesdell",5
"A Little Help from My Friends","Milan Cheylov",5
"A Martian Sonata in Mrs. B's Flat","Oscar Rudolph",10
"A Rift in Time: Vase of Mystery","Darrol Blake",10
"A Spy Is Born: Part 1","Stephane Berry",17
"A Valued Family","Michael Schultz",46
A.W.O.L.,"Charlotte Brändström",2571
"Adam Ruins Work","Josh Ruben",137
Adrenalin,"Cyrill Boss",87
Adrenalin,"Philipp Stennert",87
"All In","Max Winkler",804
Allies,"Laura Nisbet",86
"Amy Goodman","Jim Hoskinson",11
"An Affair of State","Peter Graham Scott",47
"An Inside Man","Steward Lee",611
"An Iron Fist for the Roaring Wolf! Toki Is in Danger!","Hiromichi Matano",8
"An Iron Fist for the Roaring Wolf! Toki Is in Danger!","Toyoo Ashida",8
"An Unfriendly Radiance","Corey Allen",62
"And the Image of Image","Emile B. Levisetti",399
Animator/Annihilator,"Dennie Gordon",194
"Another Earth","Bob Melisso",63
Apotheosis,"Jonas Pate",312
"April's Return/Super Mom/I'll See You Again","George Tyne",37
"Archie Is Branded","Bob LaHendro",157
"Archie Is Branded","John Rich",157
"Art Imitates Death","Dan Schimpf",33
Ausgeliefert,"Axel Sand",21
"Bad to the Bone","Shannon Biggs",20
"Ballet and the Beasts","Robbie Countryman",18
"Balsa, the Female Bodyguard","Kenji Kamiyama",26
"Balsa, the Female Bodyguard","Kôdai Kakimoto",26
"Balsa, the Female Bodyguard","Tomoki Kyôda",26
"Balsa, the Female Bodyguard","Toshiyuki Kôno",26
"Band Names-R-Us; Put Me in Coach","Jim Margolis",6
"Band Names-R-Us; Put Me in Coach","Paul Scheer",6
"Beaver, the Caddy","Earl Bellamy",50
"Becca Heller","Paul Pennolino",11
Bedposts,"Carol Banker",80
Beginnings,"J.B. Sugar",9
"Big Gay Wedding","Paul Starkman",12
"Bitter Harvest","Ken Horn",28
"Blazed and Confused","Mike B. Anderson",724
"Blazed and Confused","Rob Oliver",724
"Blood Price","Allan Kroeker",175
"Body Beautiful","Mark McQueen",12
"Boxer Rebellion","Jorge Montesi",69
"Bumpy Cover","David Wellington",5
"Can You Dig It?","Vinton Heuck",17
"Catfish: Untold Stories Special: Part 2","David Metzler",17
"Ce Cochon de Morin","Laurent Heynemann",22
"Cesar Romero","Franklin Heller",8
"Chapter One","Lauren Iungerich",179
"Chapter Seven: In a Lonely Place","Allison Anders",1462
"Cheers, Bitch","Steven A. Adelson",101
"Chiryaghar - Part 1","Basu Chatterjee",14
"Chuck Versus the Tango","Jason Ensler",1212
"Coffee Blues","Greg Yaitanes",375
"Computer School Blues","Jun'ichi Satô",48
Correio,"Kátia Lund",35
Correio,"Paulo Lins",35
"D.J. Jon/U.S. Acres: Cornfinger/Five Minute Warning","Bernard Wolf",14
"D.J. Jon/U.S. Acres: Cornfinger/Five Minute Warning","Jeff Hall",14
"Dark Side of the Moon","Jeff Woolnough",2859
"Daytime Emmys: Part 2","Gil Junger",11
"Dead Calm","Michael Spiller",47
"Dean Man's Chest","Jonathan Gershfield",13
"Dear Grace","Michael Lessac",23
"Deck the Halls","Rod Amateau",19
"Delovely and Scruggs","Joseph Depew",34
"Der Mann aus Portofino","Dietrich Haugk",44
"Dex Takes a Holiday","John Dahl",3301
"Die Maske","Gero Erhardt",5
"Do Not Pull Out Your Hand","Atsushi Matsumoto",6
"Do Not Pull Out Your Hand","Hiroshi Nagahama",6
"Do Not Pull Out Your Hand","Tsutomu Mizushima",6
"Do Not Pull Out Your Hand","Tsutomu Mizushima",6
"Dollar and Scents","Paul Holahan",76
"Double Back","Tony Wharmby",391
"Double Zeros","Larry Teng",771
"Down Is Better","Reza Tabrizi",197
"Dueling Skates","Garry Marshall",51
"Duran Duran","Jeb Brien",7
"Effects of External Conditions","Grant Harvey",1508
"Eight More Will Come Before Us...","Bruce Gowers",18
"Ein spektakulär fetter Abend","Marc Schießer",28
"El Amor Está en El Aire","Rodolfo Antúnez",13
"El Amor Está en El Aire","Sebastián Pivotto",13
"El mercado del nácar","Javier Quintas",7
"El precio de la libertad","Álvaro Curiel",13
